fold,probe_id
4,220750_s_at
4,220760_x_at
4,220769_s_at
4,220772_at
4,220793_at
4,220809_at
4,220814_at
4,220820_at
4,220829_s_at
4,220830_at
4,220872_at
4,220884_at
4,220896_at
4,220907_at
4,220935_s_at
4,220955_x_at
4,221037_s_at
4,221046_s_at
4,221068_at
4,221095_s_at
4,221111_at
4,221144_at
4,221186_at
4,221207_s_at
4,221225_at
4,221260_s_at
4,221315_s_at
4,221327_s_at
4,221363_x_at
4,221383_at
4,221389_at
4,221395_at
4,221396_at
4,221424_s_at
4,221441_at
4,221452_s_at
4,221524_s_at
4,221566_s_at
4,221613_s_at
4,221650_s_at
4,221679_s_at
4,221685_s_at
4,221719_s_at
4,221736_at
4,221802_s_at
4,221851_at
4,221907_at
4,221973_at
4,221974_at
4,222015_at
4,222068_s_at
4,222076_at
4,222096_x_at
4,222115_x_at
4,222133_s_at
4,222153_at
4,222177_s_at
4,222184_at
4,222210_at
4,222228_s_at
4,222234_s_at
4,222253_s_at
4,222297_x_at
4,222312_s_at
4,34868_at
4,39966_at
4,47553_at
4,59999_at
4,64488_at
4,64900_at
4,89948_at
4,AFFX-r2-Bs-lys-3_at
4,AFFX-r2-Bs-phe-3_at
5,200011_s_at
5,200043_at
5,200092_s_at
5,200654_at
5,200656_s_at
5,200708_at
5,200709_at
5,200723_s_at
5,200844_s_at
5,200845_s_at
5,200876_s_at
5,200920_s_at
5,200921_s_at
5,200934_at
5,200973_s_at
5,201177_s_at
5,201231_s_at
5,201244_s_at
5,201269_s_at
5,201374_x_at
5,201375_s_at
5,201398_s_at
5,201451_x_at
5,201519_at
5,201522_x_at
5,201545_s_at
5,201563_at
5,201613_s_at
5,201634_s_at
5,201779_s_at
5,201780_s_at
5,201787_at
5,201802_at
5,201832_s_at
5,201899_s_at
5,201915_at
5,201936_s_at
5,201949_x_at
5,202007_at
5,202031_s_at
5,202127_at
5,202156_s_at
5,202204_s_at
5,202479_s_at
5,202511_s_at
5,202529_at
5,202583_s_at
5,202652_at
5,202703_at
5,202717_s_at
5,202754_at
5,202864_s_at
5,202882_x_at
5,202891_at
5,202922_at
5,202944_at
5,202956_at
5,202989_at
5,203001_s_at
5,203007_x_at
5,203038_at
5,203102_s_at
5,203136_at
5,203161_s_at
5,203162_s_at
5,203170_at
5,203303_at
5,203314_at
5,203375_s_at
5,203377_s_at
5,203398_s_at
5,203399_x_at
5,203456_at
5,203579_s_at
5,203611_at
5,203613_s_at
5,203692_s_at
5,203778_at
5,203780_at
5,203782_s_at
5,203860_at
5,203862_s_at
5,203872_at
5,203916_at
5,203930_s_at
5,204001_at
5,204012_s_at
5,204096_s_at
5,204121_at
5,204141_at
5,204171_at
5,204351_at
5,204352_at
5,204400_at
5,204414_at
5,204472_at
5,204516_at
5,204544_at
5,204546_at
5,204553_x_at
5,204568_at
5,204610_s_at
5,204707_s_at
5,204764_at
5,204775_at
5,204802_at
5,204830_x_at
5,204886_at
5,204901_at
5,204914_s_at
5,204947_at
5,204958_at
5,204965_at
5,204998_s_at
5,205042_at
5,205058_at
5,205082_s_at
5,205163_at
5,205193_at
5,205217_at
5,205234_at
5,205244_s_at
5,205298_s_at
5,205329_s_at
5,205336_at
5,205337_at
5,205347_s_at
5,205379_at
5,205430_at
5,205452_at
5,205466_s_at
5,205501_at
5,205537_s_at
5,205602_x_at
5,205646_s_at
5,205683_x_at
5,205751_at
